QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L10_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = d0bbf091-f87c-4205-92fd-2d2040bae330
x[01] = -3.0781  job_id = 9460cb9e-fcc3-429f-8e74-5b8eabf1d2b4
x[02] = -3.0147  job_id = b030a3f7-d433-42f1-8be7-f095eddcee22
x[03] = -2.9512  job_id = adb82a84-b748-4107-a4cf-7bc24211a456
x[04] = -2.8877  job_id = 08ead8f4-fa94-4eea-98dc-120ae22e31c7
x[05] = -2.8243  job_id = d45d173a-d154-4860-9107-d833975c8e0a
x[06] = -2.7608  job_id = be494269-2712-46bb-bc61-7ce435edf6cc
x[07] = -2.6973  job_id = 4d19b6f2-c54c-45f0-bb62-b6b135fd9838
x[08] = -2.6339  job_id = 1190c683-e7a9-445c-9bae-375b0bb0f98e
x[09] = -2.5704  job_id = da6ec70f-1878-4b8c-8221-651b0d81fa32
x[10] = -2.5069  job_id = fd285e91-235b-46c0-a4ff-be7374f5c3a7
x[11] = -2.4435  job_id = 21a7773e-3d7d-453b-ade0-8047ec032c49
x[12] = -2.3800  job_id = d9c9489e-cf74-45fd-93ff-28425a08e8b8
x[13] = -2.3165  job_id = fb538ea6-7e87-40d6-b788-442a666c34a4
x[14] = -2.2531  job_id = 697e8b5b-09bc-4805-a188-6a4840bbe87d
x[15] = -2.1896  job_id = 15e195c5-88e7-4147-a520-4639e3493e0f
x[16] = -2.1261  job_id = 3dec03b8-c932-4e22-92c6-597d6ac45528
x[17] = -2.0627  job_id = 719f60be-20db-4a77-b92c-30292e512fc3
x[18] = -1.9992  job_id = 21f50540-7c5f-4ecd-b243-b80e4ec528c2
x[19] = -1.9357  job_id = 13d2b930-76eb-48ca-ad2e-59c7aec1436b
x[20] = -1.8723  job_id = acd15aa5-2831-4db0-92b4-1d108ed13819
x[21] = -1.8088  job_id = 5ffbbbae-ebf0-48d7-a2f1-e4d5dcc5c5ce
x[22] = -1.7453  job_id = 52ec0c2d-e9e7-4f6d-9e53-e24b5815255b
x[23] = -1.6819  job_id = df2750a3-0c5a-4a5d-a716-559f171912c1
x[24] = -1.6184  job_id = 3c0146af-a1a1-4acb-8de9-52f44992a0d3
x[25] = -1.5549  job_id = 4c86254e-9a84-4d4c-a234-8d65d5f04477
x[26] = -1.4915  job_id = 31c833e2-82d3-4ecb-8a31-297529e8a1b5
x[27] = -1.4280  job_id = 269c9ab3-d6d7-4fdd-a5ec-750f5ae0d399
x[28] = -1.3645  job_id = 0d7e43f7-96ce-4ae0-b5a6-2c533070c665
x[29] = -1.3011  job_id = 15a7a71b-22ec-4f61-a40e-53550c65c957
x[30] = -1.2376  job_id = 96d55ce8-9ffa-41b6-8fb9-4b7f01448dcd
x[31] = -1.1741  job_id = 4761740c-099f-4551-991c-48282d36e016
x[32] = -1.1107  job_id = 8b592862-c7af-4abd-a784-eafff28bd0eb
x[33] = -1.0472  job_id = bf4d4070-0b2e-48c1-a5d0-c74f57ab8577
x[34] = -0.9837  job_id = 2aa671e1-ff2e-4c5b-9758-6ecd75c32fe1
x[35] = -0.9203  job_id = 8264f8a6-2550-49bf-b30b-ceb7029c201c
x[36] = -0.8568  job_id = 78068910-2063-4ba8-a7ca-41418a09cee0
x[37] = -0.7933  job_id = 45918aa5-c178-49d4-adf6-4b44a05642ac
x[38] = -0.7299  job_id = b0691585-9d85-4855-bf74-4d59dc70c541
x[39] = -0.6664  job_id = ff200722-4e89-4c16-a707-e0e72ca7a607
x[40] = -0.6029  job_id = 12db4c82-78dc-462e-b943-b1c9998949fb
x[41] = -0.5395  job_id = 49c366d5-4a09-4099-bc25-6e334436b554
